# ell D_l^TT D_l^EE D_l^BB D_l^TE C_l^kk
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.010576301572604848e+03 4.805747476338338015e-02 1.561658630368695948e-06 3.189638814523119592e+00 7.604988881097995609e-08
3.000000000000000000e+00 9.525163540899729924e+02 8.040671501353018058e-02 3.123814866238365223e-06 4.002546712016662234e+00 9.241026486010876336e-08
4.000000000000000000e+00 8.950281672604725145e+02 9.285381183636355618e-02 5.207459498923081203e-06 4.134450790972538314e+00 1.063568373351009330e-07
5.000000000000000000e+00 8.497009488906846855e+02 8.485282215976286402e-02 7.813243782381596605e-06 3.852791869510944434e+00 1.184370146474897211e-07
6.000000000000000000e+00 8.164067127535682857e+02 6.469511987996061364e-02 1.094197131780750408e-05 3.382336415457333434e+00 1.289684809873937592e-07
7.000000000000000000e+00 7.933756820364947089e+02 4.238490735852658287e-02 1.459459120203587529e-05 2.850267166170653343e+00 1.382319149021066017e-07
8.000000000000000000e+00 7.780788694785511552e+02 2.479321545329903412e-02 1.877218998581840071e-05 2.325051324215717141e+00 1.464220485869215447e-07
9.000000000000000000e+00 7.686416202543272220e+02 1.416457668162342080e-02 2.347598242283589380e-05 1.864179574888387148e+00 1.537051288597547998e-07
1.000000000000000000e+01 7.638284749958353359e+02 9.310856014532445726e-03 2.870730115408762741e-05 1.501072274587224697e+00 1.601870808725002660e-07
1.100000000000000000e+01 7.624051627703214535e+02 7.717301656782158369e-03 3.446758548936257278e-05 1.243198372453681255e+00 1.659850257995572254e-07
1.200000000000000000e+01 7.644553566723666336e+02 7.206551970055399131e-03 4.075836920915582750e-05 1.086215855787777018e+00 1.711795305002693755e-07
1.300000000000000000e+01 7.682533322643583915e+02 6.736806370025236711e-03 4.758126765064212531e-05 1.013166359680519379e+00 1.758382914657292997e-07
1.400000000000000000e+01 7.731095082752160579e+02 6.036962323130319261e-03 5.493796412720318271e-05 1.005394593757786836e+00 1.800133256621113609e-07
